,index,id,label,text,triple
0,491,6873.json,False,This is what President Obama said the jobless rate would be if we passed the stimulus 5.6 percent.,"[['Barack Obama', 'people/person/employment_history./business/employment_tenure/title', 'President']]"
1,493,7976.json,True,Says President Obama has cracked down on employers who are attracting undocumented immigrants and hiring them more than any previous president.,"[['Barack Obama', 'people/person/employment_history./business/employment_tenure/title', 'President']]"
2,503,2354.json,True,Says State Rep. Kristi Thibaut was an ACORN lobbyist.,"[['200', 'organization/role/leaders./organization/leadership/person', 'Acorn'], ['200', 'people/person/employment_history./business/employment_tenure/title', 'United States House of Representatives']]"
3,2484,980.json,False,Secretary Geithner has left the option on the table of abandoning the dollar for a multinational currency.,"[['Timothy F. Geithner', 'people/person/employment_history./business/employment_tenure/title', 'Secretary']]"
4,2486,6457.json,False,Says U.S. Rep. Martin Heinrich spent a trillion of our tax dollars on a stimulus for failed companies here and jobs overseas.,"[['Martin Heinrich', 'people/person/employment_history./business/employment_tenure/title', 'REP']]"
5,638,7473.json,False,Says Gov. Rick Scott cut more government jobs than were created in the private sector in Florida in 2012.,"[['Rick Scott', 'people/person/employment_history./business/employment_tenure/title', '.gov']]"
6,644,3747.json,False,"George Allen had 40,000 earmarks while he was a senator.","[['George Allen', 'people/person/employment_history./business/employment_tenure/title', 'Senator']]"
7,1254,10707.json,False,Says U.S. Rep. Patrick Murphy has sided with the GOP on key votes twice as often as he sided with Democrats.,"[['Patrick Murphy (Pennsylvania politician)', 'organization/role/leaders./organization/leadership/person', 'Det republikanske parti (USA)'], ['Patrick Murphy (Pennsylvania politician)', 'people/person/employment_history./business/employment_tenure/title', 'REP'], ['Patrick Murphy (Pennsylvania politician)', 'organization/role/leaders./organization/leadership/person', 'Det republikanske parti (USA)'], ['Patrick Murphy (Pennsylvania politician)', 'organization/role/leaders./organization/leadership/person', 'Det republikanske parti (USA)'], ['Patrick Murphy (Pennsylvania politician)', 'organization/role/leaders./organization/leadership/person', 'Det republikanske parti (USA)'], ['Patrick Murphy (Pennsylvania politician)', 'organization/role/leaders./organization/leadership/person', 'Det republikanske parti (USA)']]"
8,2,1585.json,True,House Speaker Nancy Pelosi said this week that the Democrats have to pass their terrible health care bill so that the American people can actually find out whats in it.,"[['Nancy Pelosi', 'people/person/employment_history./business/employment_tenure/title', 'Speaker i Representantenes hus i USA']]"
9,18,6632.json,True,Says Bruce Springsteen played in 1975 at Seton Hall University in South Orange at Walsh gym.,"[['Bruce Springsteen', 'organization/role/leaders./organization/leadership/person', 'Seton Hall University']]"
10,30,3459.json,True,"Since President Obama took office, gas prices have gone up 67 percent.","[['Barack Obama', 'people/person/employment_history./business/employment_tenure/title', 'President']]"
11,34,2929.json,False,"When President Franklin D. Roosevelt started Social Security, it only affected widows and orphans, and when Medicare began, it was a small program.","[['Franklin D. Roosevelt', 'people/person/employment_history./business/employment_tenure/title', 'President'], ['Franklin D. Roosevelt', 'organization/role/leaders./organization/leadership/person', 'Social Security (United States)']]"
12,42,12573.json,True,"When he served as governor, Schwarzenegger preserved more land than any other gubernatorial administration in Californias history.","[['Arnold Schwarzenegger', 'people/person/employment_history./business/employment_tenure/title', 'Governor']]"
13,45,11450.json,True,Rep. Peter Petrarca voted on two pieces of legislation that helped auto body shops ... and at that point I think there is a conflict of interest.,"[['200', 'people/person/employment_history./business/employment_tenure/title', 'REP']]"
14,46,11128.json,False,Says Hillary Clinton refuses to testify before Congress about the 2012 attack in Benghazi.,"[['Hillary Clinton', 'organization/role/leaders./organization/leadership/person', 'United States Congress']]"
15,61,9478.json,False,ISIS leader Abu Bakr al Baghdadi was released by Obama in 2009.,"[['Abu Bakr al-Baghdadi', 'organization/role/leaders./organization/leadership/person', 'Den islamske staten Irak og Levanten'], ['Abu Bakr al-Baghdadi', 'organization/role/leaders./organization/leadership/person', 'Barack Obama'], ['Abu Bakr al-Baghdadi', 'people/person/employment_history./business/employment_tenure/title', 'Leadership']]"
16,72,6752.json,True,Says that in the U.S. House of Representatives weve had bipartisan support for the repeal of Obamacare for getting rid of cap and trade for building the Keystone Pipeline.,"[['Representantenes hus (USA)', 'organization/organization/headquarters./location/mailing_address/country', 'Us (2019 film)']]"
17,80,10660.json,False,Says Gov. Scott Walker has been rated Americas most factuallychallenged politician.,"[['Scott Walker (sanger)', 'people/person/employment_history./business/employment_tenure/title', '.gov']]"
18,81,2318.json,True,Sharron Angle would eliminate the Department of Education.,"[['Sharron Angle', 'organization/role/leaders./organization/leadership/person', '200'], ['Sharron Angle', 'organization/role/leaders./organization/leadership/person', '200']]"
19,88,3373.json,False,"In slashing 1.7 billion from Social Security, Rep. Jim Renacci may end up forcing the entire agency to ... shut down for a month, causing seniors to not get their benefits on time, halting claims processing, and forcing new retirees and disabled workers into a backlog.","[['Jim Renacci', 'people/person/employment_history./business/employment_tenure/title', 'REP']]"
20,92,7088.json,True,"Says a poll shows that without a name attached, Democrats are just one point behind Gov. John Kasich.","[['John Kasich', 'people/person/employment_history./business/employment_tenure/title', '.gov']]"
21,94,4362.json,True,People for the Ethical Treatment of Animals estimates 200 animals will be spared annually as the result of former President Bill Clinton adopting a vegan diet.,"[['Bill Clinton', 'people/person/employment_history./business/employment_tenure/title', 'President']]"
22,101,5402.json,True,"The governor is trying to take credit for recent actions taken by these companies. The problem is that for all three companies, the decision to move or stay in New Jersey happened before Chris Christie became governor.","[['Chris Christie', 'people/person/employment_history./business/employment_tenure/title', 'Governor']]"
23,104,743.json,True,"He has asked for 932million of earmark porkbarrel spending, nearly a million dollars for every day that hes been in the United States Senate.","[['USAs senat', 'organization/organization/headquarters./location/mailing_address/country', 'United States']]"
24,110,5755.json,False,Says President Obamas decision to not issue a permit for the Keystone XL pipeline meant we were denied the ability immediately to reduce prices at the pump.,"[['Barack Obama', 'people/person/employment_history./business/employment_tenure/title', 'President']]"
25,113,4433.json,True,"In writing his book, Gov. Perry pointed out that by any measure Social Security has been a failure.","[['Katy Perry', 'people/person/employment_history./business/employment_tenure/title', '.gov']]"
26,123,11688.json,False,"One of the things I would immediately do is bring back the warrior class  Petraeus, McChrystal, Mattis, Keane, Flynn. ... Every one was retired early because they told President Obama things that he didnt want to hear.","[['Barack Obama', 'people/person/employment_history./business/employment_tenure/title', 'President']]"
27,128,13359.json,False,Says President Obama was proposing pinprick strikes for military intervention in Syria.,"[['Barack Obama', 'people/person/employment_history./business/employment_tenure/title', 'President']]"
28,133,1029.json,True,"President Obamas own director of national intelligence, Admiral Blair, put it this way Highvalue information came from interrogations in which those methods were used and provided a deeper understanding of the alQaida organization that was attacking this country.","[['Tony Blair', 'people/person/employment_history./business/employment_tenure/title', 'Admiral'], ['Barack Obama', 'people/person/employment_history./business/employment_tenure/title', 'President']]"
29,147,11973.json,False,"Says Travis County Commissioner Gerald Daugherty claims to have taken a pay cut, but for 2016, he voted to raise his salary by 19.6 percent.","[['200', 'people/person/employment_history./business/employment_tenure/title', 'County commission']]"
30,151,9665.json,True,Brookhaven homeowners pay hundreds of dollars less in property taxes compared with owners of the samevalue homes in unincorporated DeKalb County.,"[['County', 'location/hud_county_place/county', 'DeKalb (Illinois)']]"
31,174,10569.json,True,Says President Barack Obama made unilateral changes to Obamacare 38 times.,"[['Barack Obama', 'people/person/employment_history./business/employment_tenure/title', 'President']]"
32,183,8852.json,True,David Dewhurst is the first lieutenant governor in history to have a personal security detail.,"[['David Dewhurst', 'people/person/employment_history./business/employment_tenure/title', 'Løytnant'], ['David Dewhurst', 'people/person/employment_history./business/employment_tenure/title', 'Lieutenant governor']]"
33,186,1724.json,False,Says Gov. Rick Perry has never held a privatesector job.,"[['Rick Perry', 'people/person/employment_history./business/employment_tenure/title', '.gov']]"
34,187,6724.json,False,Says President Obama promised hed keep unemployment below 8 percent if the stimulus passed.,"[['Barack Obama', 'people/person/employment_history./business/employment_tenure/title', 'President']]"
35,188,13507.json,True,Says Indiana Gov. Mike Pence advocated diverting taxpayer dollars to socalled conversion therapy.,"[['Mike Pence', 'people/person/employment_history./business/employment_tenure/title', '.gov']]"
36,189,6787.json,True,"Says Ted Cruz has pledged to eliminate the U.S. Department of Education, which would end federal aid to college students.","[['Ted Cruz', 'organization/role/leaders./organization/leadership/person', 'United States Department of Education'], ['Ted Cruz', 'organization/role/leaders./organization/leadership/person', '200']]"
37,198,1368.json,True,Charlie Crist broke the quarter record for fundraising in a U.S. Senate race in Florida.,"[['USAs senat', 'organization/organization/headquarters./location/mailing_address/country', 'Us (2019 film)']]"
38,205,602.json,True,On supporting the Supreme Court abortion decision Roe v. Wade,"[['Roe mot Wade', 'organization/role/leaders./organization/leadership/person', 'Supreme Court of the United States']]"
39,214,9877.json,True,Says Democratic Senate candidate Bruce Braley voted to cut 700 billion from Medicare to support Obamacare.,"[['Bruce Braley', 'organization/role/leaders./organization/leadership/person', 'USAs senat'], ['Bruce Braley', 'people/person/employment_history./business/employment_tenure/title', 'Candidate']]"
40,217,13456.json,False,"1928 was last time Republicans had the White House, the House and the Senate.","[['White House', 'organization/organization/headquarters./location/mailing_address/country', 'USAs senat'], ['White House', 'organization/organization/headquarters./location/mailing_address/country', 'House M.D.']]"
41,230,6528.json,True,"Says U.S. Senate rival Tommy Thompson wants to give a new 265,000 tax cut to millionaires like himself while raising taxes on the middle class.","[['Tommy Thompson', 'organization/role/leaders./organization/leadership/person', 'USAs senat']]"
42,235,7587.json,True,Atlanta Mayor Kasim Reed held not one conversation with the public about the new Falcons stadium project,"[['Kasim Reed', 'people/person/employment_history./business/employment_tenure/title', 'Mayor']]"
43,252,7567.json,False,This parent trigger legislation was drafted by President Obamas top advisers. It was drafted by President Clintons top advisers.,"[['Barack Obama', 'people/person/employment_history./business/employment_tenure/title', 'President'], ['Bill Clinton', 'people/person/employment_history./business/employment_tenure/title', 'President']]"
44,253,12495.json,True,Says Ron Johnson voted to turn Medicare into a voucher program.,"[['Ron Johnson', 'organization/role/leaders./organization/leadership/person', 'Medicare (USA)']]"
45,257,673.json,True,"Today, we import triple the amount of oil than we had on the day Senator McCain took office.","[['John McCain', 'people/person/employment_history./business/employment_tenure/title', 'Senator']]"
46,260,2565.json,True,Said state insurance commissioner candidate Ralph Hudgens fights hard to strip women of lifesaving coverage such as mammograms.,"[['Ralph Hudgens', 'people/person/employment_history./business/employment_tenure/title', 'Candidate']]"
47,269,12451.json,True,"Right now, in every major poll, national poll and statewide poll done in the last month, six weeks, we are defeating Trump, often by big numbersand always at a larger margin than Secretary Clinton is.","[['Bill Clinton', 'people/person/employment_history./business/employment_tenure/title', 'Secretary']]"
48,275,5632.json,True,President Barack Obama reduced the cost of prescription drugs for nearly 3.6 million Americans in 2011.,"[['Barack Obama', 'people/person/employment_history./business/employment_tenure/title', 'President']]"
49,281,5155.json,False,The ACLU and atheists in Denver are demanding the NFL stop Tim Tebow from praying on the sidelines.,"[['National Football League', 'organization/role/leaders./organization/leadership/person', 'Tim Tebow']]"
50,288,4894.json,False,U.S. Rep. Debbie Wasserman Schultz has blamed the Republicans for the creation of Hamas.,"[['Debbie Wasserman Schultz', 'people/person/employment_history./business/employment_tenure/title', 'REP']]"
51,295,5827.json,False,U.S. Rep. Allen West wants to bring back earmarks.,"[['Allen West (politiker)', 'people/person/employment_history./business/employment_tenure/title', 'REP']]"
52,302,821.json,False,The McCain campaign is roughly in the position where Vice President Gore was running against President Bush one week before the election of 2000.,"[['George W. Bush', 'people/person/employment_history./business/employment_tenure/title', 'President'], ['200', 'people/person/employment_history./business/employment_tenure/title', 'Vice President of the United States'], ['200', 'people/person/employment_history./business/employment_tenure/title', 'George W. Bush']]"
53,311,9711.json,False,"Says U.S. Rep. Ann McLane Kuster used 293,000 of taxpayer money to send campaign mail.","[['Ann McLane Kuster', 'people/person/employment_history./business/employment_tenure/title', 'REP']]"
54,317,12532.json,False,"The Obama administration was actively supporting Al Qaeda in Iraq, the terrorist group that became the Islamic State.","[['al-Qaida', 'organization/organization/headquarters./location/mailing_address/country', 'Iraq']]"
55,326,7025.json,False,"Says that when Congressman Steve Cohen took office in 2007, the unemployment rate was at 4.8 percent. The unemployment rate in Shelby County has reached 9.7 percent.","[['Steve Cohen (businessman)', 'people/person/employment_history./business/employment_tenure/title', 'Member of Congress'], ['County', 'location/hud_county_place/county', 'Carroll Shelby']]"
56,328,2856.json,True,"Says President Obama has grown the federal government payroll by 141,000 workers and wants to add 125,000 more.","[['Barack Obama', 'people/person/employment_history./business/employment_tenure/title', 'President']]"
57,329,10921.json,True,"In Florida, when Jeb Bush was governor, state authorities conducted a deeply flawed purge of voters before the presidential election in 2000 and in2004 a plan to purge even more voters was headed off.","[['Jeb Bush', 'people/person/employment_history./business/employment_tenure/title', 'Governor']]"
58,331,1440.json,False,"President Obama pledged to go through the budget line by line, but on his watch, nondefense spending has spiraled out of control, increasing by 67 percent in the last year alone.","[['Barack Obama', 'people/person/employment_history./business/employment_tenure/title', 'President']]"
59,343,10221.json,True,Austin mayoral candidate Steve Adler admitted his law firm worked with Koch Industries for nearly a decade.,"[['Steven Adler', 'people/person/employment_history./business/employment_tenure/title', 'Candidate']]"
60,349,2598.json,False,"Says state Rep. Patrick Rose votes 90 percent with liberals, backed the states largest tax increase, proposed nearly 15 billion in government spending and supported Obamastyle governmentrun health care system for Texas.","[['Patrick Rose', 'people/person/employment_history./business/employment_tenure/title', 'United States House of Representatives']]"
61,354,11754.json,False,"California Senator, Democratic Senator Dianne Feinstein said if she could say to Mr. America and Mrs. America, Give me your guns, Im rounding em up, she would.","[['Dianne Feinstein', 'people/person/employment_history./business/employment_tenure/title', 'Senator']]"
62,381,9899.json,True,Says President Obama has never made a statement ... that he wanted a residual force left in Iraq.,"[['Barack Obama', 'people/person/employment_history./business/employment_tenure/title', 'President']]"
63,384,2637.json,False,Says Maryellen OShaughnessy accepted campaign cash from indicted politician Jimmy Dimora.,"[['Jimmy Dimora', 'people/person/employment_history./business/employment_tenure/title', 'Politician'], [""Maryellen O'Shaughnessy"", 'people/person/employment_history./business/employment_tenure/title', 'Jimmy Dimora']]"
64,404,4394.json,False,Says U.S. Rep. Paul Ryans budget proposal eliminates Medicare in 10 years.,"[['Paul Ryan', 'people/person/employment_history./business/employment_tenure/title', 'REP']]"
65,406,9702.json,False,Says U.S. Senate candidate Cory Gardner blocked immigration reform and voted to deport our DREAMers.,"[['Cory Gardner', 'organization/role/leaders./organization/leadership/person', 'USAs senat'], ['Cory Gardner', 'people/person/employment_history./business/employment_tenure/title', 'Candidate']]"
66,424,10518.json,False,Says Supreme Court Justice Sonia Sotomayor has animmigrant family background.,"[['Sonia Sotomayor', 'organization/role/leaders./organization/leadership/person', 'Supreme Court of the United States']]"
67,427,1803.json,True,"California gubernatorial candidate Steve Poizner, a Republican, gave 10,000 to Al Gores recount effort in 2000.","[['Steve Poizner', 'people/person/employment_history./business/employment_tenure/title', '2020 United States gubernatorial elections']]"
68,435,12129.json,False,"Congressman Jeff Denhamhas agreed all illegal immigrants should be detained, arrested and deported.","[['200', 'people/person/employment_history./business/employment_tenure/title', 'Member of Congress']]"
69,437,12979.json,False,"As governor, Tim Kaine oversaw a huge increase in illegal immigration, a tremendous increase.","[['Tim Kaine', 'people/person/employment_history./business/employment_tenure/title', 'Governor']]"
70,438,10689.json,True,Says Indiana Gov. Mike Pence provides zero state funding for homeless shelters.,"[['Mike Pence', 'people/person/employment_history./business/employment_tenure/title', '.gov']]"
71,464,11055.json,False,Says President Obama is reducing our naval fleet to 1917 levels...,"[['Barack Obama', 'people/person/employment_history./business/employment_tenure/title', 'President']]"
72,472,535.json,True,"I joined the Gang of 14, seven Republicans, seven Democrats, so that we wouldnt blow up the United States Senate. Sen. Obama had the opportunity to join that group. He chose not to.","[['USAs senat', 'organization/organization/headquarters./location/mailing_address/country', 'United States']]"
73,473,6870.json,False,"Gov. Nathan Deal has taken at least 15,600 from the Koch brothers, their businesses, and their employees.","[['Nathan Deal', 'people/person/employment_history./business/employment_tenure/title', '.gov']]"
74,481,10316.json,True,A bill from U.S. Rep. Ted Yohoattempts to restrict the administrations ability to conduct national security and criminal background checks on undocumented immigrants.,"[['200', 'people/person/employment_history./business/employment_tenure/title', 'REP']]"
75,499,1813.json,False,The fact that Rick Scott is running for governor as a reformer would be funny if it wasnt so outrageous. This is a man who barely escaped imprisonment.,"[['Rick Scott', 'people/person/employment_history./business/employment_tenure/title', 'Governor']]"
76,507,9707.json,True,"The people who want President Barack Obama impeached are all white, theyre all older, and guess what, theyre in the far right wing of the Republican Party.","[['Barack Obama', 'people/person/employment_history./business/employment_tenure/title', 'President']]"
77,521,7226.json,False,"While President Obama says all options are on the table for preventing a nuclear Iran, Hagel says military action is not a viable, feasible, responsible option.","[['Barack Obama', 'people/person/employment_history./business/employment_tenure/title', 'President']]"
78,527,8134.json,True,Says President Franklin Delano Roosevelt felt there wasnt a need in the public sector to have collective bargaining because the government is the people.,"[['Franklin D. Roosevelt', 'people/person/employment_history./business/employment_tenure/title', 'President']]"
79,530,6088.json,False,"Says Robert Menendez is the king of raising money from Wall Street, over a million dollars, one of the leaders in the United States Senate. I havent raised any Wall Street money at all.","[['USAs senat', 'organization/organization/headquarters./location/mailing_address/country', 'United States']]"
80,533,785.json,True,"Two years ago...I wrote to Secretary Paulson, I wrote to Federal Reserve Chairman Bernanke, and told them subprime lending is something we have to deal with.","[['Henry Paulson', 'people/person/employment_history./business/employment_tenure/title', 'Secretary'], ['Ben Bernanke', 'organization/role/leaders./organization/leadership/person', 'Federal Reserve'], ['Ben Bernanke', 'people/person/employment_history./business/employment_tenure/title', 'Chairperson']]"
81,539,1557.json,True,Says Gov. Charlie Crist has called him a rock star.,"[['Charlie Crist', 'people/person/employment_history./business/employment_tenure/title', '.gov']]"
82,540,5635.json,False,Says U.S. Rep. Connie Mack took seven and a half years to finish college.,"[['Connie Mack', 'people/person/employment_history./business/employment_tenure/title', 'REP']]"
83,554,652.json,True,"While in the Illinois Senate, Barack Obama passed legislation moving people from welfare to jobs.","[['Barack Obama', 'organization/role/leaders./organization/leadership/person', 'Illinois Senate']]"
84,555,12585.json,False,Gov. Terry McAuliffe has made several statements that he would love to be in a Cabinet secretary position with the Clinton administration.,"[['Terry McAuliffe', 'people/person/employment_history./business/employment_tenure/title', '.gov']]"
85,560,6224.json,True,"Says cuts by Gov. Rick Perrys administration left 12,000 teachers without a job.","[['Rick Perry', 'people/person/employment_history./business/employment_tenure/title', '.gov']]"
86,568,1549.json,False,Congressman McCollum voted to dismantle Social Security.,"[['CJ McCollum', 'people/person/employment_history./business/employment_tenure/title', 'Member of Congress'], ['CJ McCollum', 'organization/role/leaders./organization/leadership/person', 'Social Security (United States)']]"
87,576,11122.json,False,"Under Gov. Scott Walker, Wisconsin projected a 1 billion budget surplus and it turns out to be a deficit of 2.2 billion.","[['Scott Walker (sanger)', 'people/person/employment_history./business/employment_tenure/title', '.gov']]"
88,580,3967.json,True,Says former MiamiDade Mayor Carlos Alvarez and current mayoral candidate Carlos Gimenez both drove fancy European cars at taxpayer expense.,"[['Carlos A. Giménez', 'people/person/employment_history./business/employment_tenure/title', 'Candidate'], ['Carlos Álvarez (baritone)', 'people/person/employment_history./business/employment_tenure/title', 'Mayor']]"
89,587,748.json,False,Senator Obama has the most liberal voting record in the United States Senate.,"[['USAs senat', 'organization/organization/headquarters./location/mailing_address/country', 'United States'], ['Barack Obama', 'people/person/employment_history./business/employment_tenure/title', 'Senator']]"
90,592,12644.json,True,Taxpayers are paying a fortune for the use of Air Force One on the campaign trail by President Barack Obama and Hillary Clinton.,"[['Barack Obama', 'people/person/employment_history./business/employment_tenure/title', 'President']]"
91,638,10245.json,True,"The Orange County, Florida, school board voted to make it impossible for a student to receive a grade below 50.","[['County', 'location/hud_county_place/county', 'Orange (fruit)']]"
92,641,214.json,True,"Senator Obamas relatives and friends say he has been talking about running for president for at least the last 15 years, a campaign spokesman said.","[['Barack Obama', 'people/person/employment_history./business/employment_tenure/title', 'Senator']]"
93,642,984.json,False,President Obama has never received a paycheck from a profitmaking business in his entire life.,"[['Barack Obama', 'people/person/employment_history./business/employment_tenure/title', 'President']]"
94,648,1272.json,False,"If President Obama signs the Copenhagen climate change treaty, he will sign your freedom, your democracy, and your prosperity away forever and neither you nor any subsequent government you may elect would have any power whatsoever to take it back again.","[['Barack Obama', 'people/person/employment_history./business/employment_tenure/title', 'President']]"
95,650,1356.json,False,Labor union president Andy Stern is the most frequent visitor at the White House.,"[['Andy Stern', 'people/person/employment_history./business/employment_tenure/title', 'President'], ['Andy Stern', 'organization/role/leaders./organization/leadership/person', 'Labour']]"
96,661,11489.json,False,How is a misogynist bigot of epic proportions like U.S. Rep. Steven Smith allowed to serve?,"[['Steve Smith (cricketer)', 'people/person/employment_history./business/employment_tenure/title', 'REP']]"
97,667,3279.json,True,"The firefighters, the policemen and others who supported Wisconsin Gov. Scott Walker in his election bid ... dont have to worry about their collective bargaining rights.","[['Scott Walker (sanger)', 'people/person/employment_history./business/employment_tenure/title', '.gov']]"
98,683,1793.json,False,"Elena Kagan is a New York City radical, Marxist lawyer through and through.","[['Elena Kagan', 'people/person/employment_history./business/employment_tenure/title', 'York']]"
99,688,5968.json,False,Says large majority of Republicans believe Obama is a Muslim and not U.S.born.,"[['Barack Obama', 'people/person/religion', 'Islam'], ['Birthright citizenship in the United States', 'location/statistical_region/religions./location/religion_percentage/religion', 'Islam']]"
100,695,13362.json,False,"When Trump wanted to turn a taxpayerowned building into an 800 anight hotel, Congressman Jeff Denham, RCA helped broker the deal and bragged about it.","[['Jeff Denham', 'people/person/employment_history./business/employment_tenure/title', 'Member of Congress'], ['Donald Trump', 'people/person/employment_history./business/employment_tenure/title', 'Jeff Denham']]"
101,714,5614.json,False,Says former U.S. Rep. Carol SheaPorter refused to host town hall meetings during her time in Congress.,"[['Carol Shea-Porter', 'people/person/employment_history./business/employment_tenure/title', 'REP']]"
102,716,1043.json,False,On calling Supreme Court nominee Sonia Sotomayor a racist.,"[['Sonia Sotomayor', 'organization/role/leaders./organization/leadership/person', 'Supreme Court of the United States']]"
103,720,1609.json,False,Marco Rubio is a Miami lobbyist.,"[['Marco Rubio', 'people/person/employment_history./business/employment_tenure/title', 'Lobbyist']]"
104,742,1848.json,True,"When Roy Barnes was governor, Georgia created 235,000 jobs.","[['Roy Barnes', 'people/person/employment_history./business/employment_tenure/title', 'Governor']]"
105,763,9224.json,False,Says North Carolina Republican Senate candidate Thom Tillis called Obamacare a great idea.,"[['Thom Tillis', 'people/person/employment_history./business/employment_tenure/title', 'Candidate'], ['Thom Tillis', 'organization/role/leaders./organization/leadership/person', 'Thom Tillis']]"
106,766,6036.json,True,"Under Gov. Mitt Romney, Massachusetts ranked 47th in job creation.","[['Mitt Romney', 'people/person/employment_history./business/employment_tenure/title', '.gov'], ['Massachusetts', 'people/person/employment_history./business/employment_tenure/title', 'Mitt Romney'], ['Massachusetts', 'people/person/employment_history./business/employment_tenure/title', 'Mitt Romney']]"
107,770,2620.json,False,"Said U.S. Rep. Jim Marshall, DMacon, sent nearly 2 billion overseas to build wind turbines and create jobs, mostly in China","[['Jim Marshall (businessman)', 'people/person/employment_history./business/employment_tenure/title', 'REP']]"
108,796,3834.json,False,"The Medicare proposal by Rep. Paul Ryan, RWis., would allow insurance companies to deny you coverage and drop you for preexisting conditions.","[['Paul Ryan', 'people/person/employment_history./business/employment_tenure/title', 'REP']]"
109,803,6946.json,False,Women who have miscarriages could be investigated by police under legislation supported by Republican state Senate candidate Rick Gudex.,"[['Rick Gudex', 'people/person/employment_history./business/employment_tenure/title', 'Candidate'], ['Rick Gudex', 'organization/role/leaders./organization/leadership/person', 'USAs senat']]"
110,806,1372.json,False,President Obama doesnt ... want to admit were at war.,"[['Barack Obama', 'people/person/employment_history./business/employment_tenure/title', 'President'], ['Barack Obama', 'people/person/employment_history./business/employment_tenure/title', 'War']]"
111,812,4616.json,False,Says Texas Senate hopeful Donna Campbell doesnt live in the district shes hoping to win in 2012.,"[['Donna Campbell', 'organization/role/leaders./organization/leadership/person', 'Texas Senate']]"
112,815,7110.json,False,"Says Gov. Scott Walker has led people to believe that if Wisconsin doesnt implement a healthcare exchange, Obamacare doesnt happen here.","[['Scott Walker (sanger)', 'people/person/employment_history./business/employment_tenure/title', '.gov']]"
113,846,2650.json,True,Republican candidate for governor Nathan Deal fought to weaken Georgias rape shield law.,"[['Nathan Deal', 'people/person/employment_history./business/employment_tenure/title', 'Governor']]"
114,857,4374.json,False,Says President Barack Obama delivered 2 billion to Brazil to help with offshore drilling projects.,"[['Barack Obama', 'people/person/employment_history./business/employment_tenure/title', 'President']]"
